State,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
Alaska,1213565,165891,220023,891194,121824,829163,150330,438180,59.9,405230,73.5,387489,53,359428,65.2,629625,469340,76200,38400,37204,345315,507992,683,145994,206953,34466,76,145604,179424,34329,71,354143,59.9,405230,73.5,48.4,326216,59.1,438180,82203,89.8,75631,82.6,41758,30567,3274,32,183397,200241,1325030,436820,71.7,386616,63.5,145990,206086,34464,76,888940,145997,199312,68161,17.6,67947,18.9,48752,28.7,29980,39.6,24118,43603,429,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,7423960,151411,194605,4960880,101177,4710759,123484,2693121,54.9,2551121,66.9,2211121,45.1,2102851,55.1,3717360,3308000,341000,57600,146739,2172620,2641323,198,941507,1122767,146370,477,941065,1015023,146287,476,2074049,54.9,2551121,66.9,42.3,1965859,51.5,2693121,759936,89.4,656624,77.3,347879,273492,34938,315,1537335,180898,873575,2692699,64.3,2211030,52.8,941496,1122696,146361,477,4960404,118475,177315,269030,12.2,268648,12.8,230198,18.3,172504,26.3,110103,156014,2902,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4599360,152408,198449,3323664,110135,3103578,133911,1765028,58.5,1641521,70.8,1460131,48.4,1362921,58.8,2294100,1980060,215400,109800,103787,1420629,1794992,4256,616364,741248,101742,777,615259,645695,101225,742,1363291,58.5,1641521,70.8,45.2,1266567,54.6,1765028,467733,89.3,399326,76.2,224258,159963,14675,430,971265,185398,877938,1759972,68.8,1458616,57,616353,739865,101623,775,3317163,129716,179856,199269,13.6,199027,14.6,162335,21.1,120353,30.1,74267,123320,1302,380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,11101560,152521,196889,8971868,123262,8370262,148449,4491173,61.7,4169285,73.9,3894266,53.5,3628589,64.4,5982900,4414260,529200,175200,307876,3570150,5076444,17398,1499792,2094227,295327,4920,1499179,1829649,294900,4861,3611037,61.7,4169285,73.9,49.6,3345774,59.3,4491173,1198135,91.6,1056030,80.7,511934,494366,47072,2658,2687166,205341,848333,4489714,72.3,3893869,62.7,1499767,2094097,295086,4919,8970246,144540,178883,458658,11.8,457712,12.6,381228,19.3,290510,27.5,136410,319050,2993,205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,65359485,165416,213470,55428001,140281,51209992,167257,29752762,75.3,27414407,89.5,24408625,61.8,22526614,73.6,36663345,24507340,3125100,1063700,1975972,20853488,32559210,39331,8807203,13661834,1935234,4354,8781683,11813274,1927649,4008,22619414,75.3,27414407,89.5,57.2,20744885,67.8,29752762,6127918,99.9,4884322,83.7,2452686,2238684,191629,1323,12487886,213903,1119530,29646936,88.1,24359556,72.4,8806769,13613591,1934860,4336,55272826,164276,194255,2881021,11.8,2878026,12.8,2224382,20.9,1564960,32,1003229,1845889,31325,578,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,9272295,161013,206087,7938860,137858,7387381,164193,3930440,68.3,3636675,80.8,3573208,62,3316952,73.7,5119995,3588000,420700,143600,290553,3087392,4550097,10818,1341122,1949510,280857,1719,1337442,1698204,279649,1657,3325486,68.3,3636675,80.8,57.7,3070381,68.2,3930440,796011,94.5,731778,86.9,349395,356645,25125,613,1860295,220830,1100680,3913590,79.3,3565035,72.2,1341101,1941388,280830,1716,7913650,160323,187848,587405,16.4,586626,17.7,444080,28.7,317808,43.4,212779,368738,5762,126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,6388425,179184,225115,5548684,155631,5145441,181315,2849557,79.9,2634989,92.9,2533601,71.1,2349411,82.8,3461205,2534720,301000,91500,215480,2035076,3294913,3215,897909,1422984,212261,447,897446,1239550,212082,333,2337148,79.9,2634989,92.9,65.6,2153122,75.9,2849557,673638,99.9,589962,93.6,232163,336679,21021,99,1489141,236280,1013640,2846331,91.6,2533061,81.6,897643,1422795,212180,443,5544873,178524,205684,346189,13.7,345954,14.7,299180,23.7,227727,38.6,115202,228300,2456,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
District of Columbia,1351495,191498,233992,1096980,155435,1054836,182630,536901,76.1,510396,88.4,445095,63.1,426040,73.8,755235,517160,62300,16800,32143,402233,662145,459,159824,249089,35878,304,159756,230142,35857,285,412864,76.1,510396,88.4,58.5,393828,68.2,536901,88065,99.9,75594,86.5,40383,32555,2596,60,213536,244480,1547340,536718,88,445041,73,159817,249048,35875,301,1096874,179888,221646,44765,10.1,44708,10.5,29732,17.9,20757,27.5,15267,29283,208,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1763365,181088,228951,1324364,136005,1240994,161128,677424,69.6,635170,82.5,585901,60.2,549992,71.4,962205,700060,78900,22200,52341,503739,766674,1610,213094,320607,51685,515,212971,284885,51629,507,536815,69.6,635170,82.5,55.1,500957,65,677424,193678,99.9,169919,89.9,69622,90630,9390,277,417301,220904,933462,677227,80.6,585847,69.8,213083,320573,51676,515,1324128,157671,209973,72942,12.4,72878,13.3,64403,19.9,50933,30,22669,49927,339,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,36186955,168486,209806,29053471,135272,27481285,159332,14933856,69.5,14081782,81.6,12904395,60.1,12207127,70.8,19834395,14049160,1989900,313500,1266920,10829061,16850590,106900,4540725,7093639,1238442,31589,4538944,6399955,1236874,31354,11721745,69.5,14081782,81.6,54.6,11025992,63.9,14933856,4464682,99.3,3896791,86.6,1879190,1795929,202877,18795,9809687,218122,804631,14925462,79.8,12902591,69,4540004,7093367,1237635,31585,29044096,155349,193554,1586941,12.3,1585242,13,1410836,19.6,1113425,28.6,633071,937537,14009,2324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,16334095,153842,201319,11707936,110271,10989276,135444,6083219,57.3,5674286,69.9,5161287,48.6,4850410,59.8,8651295,6667700,714200,300900,289847,4662782,6741523,13784,2002433,2869797,285273,3784,2001569,2560508,284837,3496,4890793,57.3,5674286,69.9,46.1,4580293,56.5,6083219,1362826,89.8,1208265,79.7,658654,514775,33078,1758,2989010,197040,1076770,6078812,67.6,5160655,57.4,2002374,2869391,285162,3728,11703060,130206,181730,567996,11,567232,11.7,469228,18.3,339530,28.1,229289,334697,3687,323,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2656240,187605,238013,2006186,141693,1876860,168177,1126178,79.5,1045999,93.7,851175,60.1,800045,71.7,1510980,986960,108500,49800,53146,642779,1214440,95821,273395,506040,53600,18140,272786,455701,53435,18123,798661,79.5,1045999,93.7,56.4,747693,67,1126178,287994,99.9,235697,87.8,96961,127054,10265,1417,561354,209111,989480,1120614,92.5,849654,70.2,273344,504617,53564,18129,1999830,165124,219323,88590,10.4,88463,11.1,70099,16,51352,21.8,16437,71755,396,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,4836315,153287,199170,3838670,121667,3610257,148679,1895233,60.1,1775054,73.1,1761869,55.8,1655439,68.2,2625495,1879420,241700,89700,152982,1523152,2161269,1267,678813,933915,148893,248,678618,827765,148811,245,1620951,60.1,1775054,73.1,51.4,1514596,62.4,1895233,524859,94.9,497981,90.1,261375,222761,13737,108,1211331,219065,874632,1894283,70.8,1761843,65.8,678808,933896,148891,248,3837747,143399,180710,302615,17.2,302373,18.3,255972,27.2,196004,39.4,115239,185444,1920,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2562020,143365,191358,1771023,99102,1769746,132183,885581,49.6,883046,66,791498,44.3,789777,59,1381860,997760,134100,48300,71206,710549,986756,2512,304690,416252,69941,615,304665,414584,69919,609,725427,49.6,883046,66,40.6,723728,54.1,885581,260672,89.7,241734,83.2,111049,118990,11434,261,587952,202275,881419,0,0,0,0,0,0,0,0,0,0,0,139097,17.6,139095,17.6,115918,26.1,87362,36.1,46783,91147,1131,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,19974915,157633,202710,16628163,131222,15439515,156684,8406002,66.3,7777024,78.9,7719338,60.9,7154787,72.6,11252955,7439460,1003500,279000,575065,6003009,10030228,19861,2687114,4455821,569900,6503,2679460,3901603,567357,6367,7187698,66.3,7777024,78.9,56.7,6625658,67.2,8406002,1909287,93.4,1765998,86.4,790415,893492,79049,3042,4210522,206072,977614,8381055,77.3,7702642,71.1,2686998,4439303,569839,6502,16586073,153039,184308,1057863,13.7,1056716,14.8,838656,22.8,606209,34.3,348027,702258,7186,392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana,9418680,139905,182383,7373135,109520,6944446,134472,3645063,54.1,3416710,66.2,3370358,50.1,3176232,61.5,5226000,3510480,508200,174000,267901,2683393,4396052,25789,1197573,1905038,260187,7560,1197266,1711562,259928,7476,3126693,54.1,3416710,66.2,46.4,2932787,56.8,3645063,963148,88.7,921372,84.9,451446,436746,29494,3686,2229984,205388,867487,3640090,63.8,3370157,59.1,1197558,1904874,260165,7560,7368081,129150,165094,468037,13.9,467482,14.7,401527,22.2,308089,33.4,139134,324371,4258,274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kansas,4421735,151777,199801,3426858,117627,3194470,144346,1842609,63.2,1714866,77.5,1561245,53.6,1455469,65.8,2326875,1772760,226700,95400,114180,1330052,1979577,3049,589209,860473,111033,530,588867,755213,110929,460,1456325,63.2,1714866,77.5,50,1350647,61,1842609,493649,99.9,411406,86.5,196224,197443,17507,232,997993,209889,929938,1841060,75.1,1561208,63.7,589201,860452,111025,530,3425317,139712,180354,205511,13.2,205223,14.1,168985,21.4,127530,31,70714,133174,1558,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kentucky,6573275,147130,189716,5030576,112599,4749211,137070,2589418,58,2436193,70.3,2282061,51.1,2153830,62.2,3357855,2809920,324800,80700,199874,2074466,2753716,2520,905950,1181330,193242,1539,905716,1053608,193111,1395,2098793,58,2436193,70.3,47,1970689,56.9,2589418,687458,91.6,619948,82.6,281796,300272,37151,729,1470946,195979,875778,2587864,68,2281905,60,905937,1181301,193211,1456,5028234,132108,172701,345317,15.1,344971,16,287549,23.4,210169,33.9,122710,218379,4153,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Louisiana,6413380,137958,180092,4954751,106581,4693463,131796,2518518,54.2,2373593,66.7,2230319,48,2113773,59.4,3321420,2685660,277600,128700,168198,2029250,2754736,2567,897643,1172110,159601,965,897155,1056226,159436,956,2077398,54.2,2373593,66.7,44.7,1961013,55.1,2518518,654257,88.3,620549,83.7,294429,304357,21565,198,1459615,196973,865478,2518164,64.2,2230165,56.8,897621,1172003,159577,964,4954277,126278,163468,288163,12.9,287798,13.6,243752,20,180077,29,85514,200798,1836,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massachusetts,12386140,179705,223589,10700379,155247,9953909,179683,5591943,81.1,5185124,93.6,4826732,70,4484078,80.9,6867120,4799920,535500,183600,350899,4085116,6258878,5486,1775551,2699925,351070,186,1770246,2363828,349847,157,4510691,81.1,5185124,93.6,65.4,4169245,75.3,5591943,1264698,99.9,1061064,90.7,478177,512760,70071,56,2606658,222919,1059250,5570337,92.6,4815185,80,1775540,2688400,351059,186,10666975,177288,205861,608754,12.6,608201,13.6,482930,21.3,350221,33,205306,399868,3419,161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maryland,11272910,186462,239289,8756769,144843,8107876,172105,4435202,73.4,4092360,86.9,4009204,66.3,3707759,78.7,6389910,4184800,518900,179300,314375,3227308,5202276,12810,1418835,2285543,301458,3368,1418343,1984950,301245,3221,3749828,73.4,4092360,86.9,62,3448561,73.2,4435202,945777,98.6,871685,90.9,416639,401099,53030,917,2095925,218463,1175000,4433975,85.9,4008977,77.6,1418796,2285395,301421,3365,8755601,169587,218345,579951,14.5,579242,15.6,461490,24.4,325031,37.3,215983,355865,8005,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
