Maine,2459400,182962,224527,2026468,150755,1909773,174350,1042363,77.5,981658,89.6,954301,71,899508,82.1,1278000,1010600,135700,35100,124134,810652,1089779,1903,359650,473015,121233,403,359588,418399,121158,363,840963,77.5,981658,89.6,62.6,786237,71.8,1042363,300668,99.9,272161,95.4,123791,124855,23335,180,650917,228180,862146,1042106,87.9,954262,80.5,359643,473006,121213,400,2026193,170996,207556,142177,14.9,142091,15.8,123989,23.4,95800,35.2,48004,92642,1379,152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michigan,15267770,152879,194669,11775855,117914,11115115,141722,5860936,58.7,5513629,70.3,5371650,53.8,5064471,64.6,7985010,6265160,784500,233100,389971,4565915,6814379,5590,2032493,2954468,383740,949,2031827,2648310,383457,877,5016309,58.7,5513629,70.3,50.2,4709379,60,5860936,1612806,91.4,1500158,85,748420,683479,67713,546,3572789,202378,864833,5856695,68.1,5371513,62.5,2032474,2954373,383720,946,11771553,136958,177635,892066,16.6,891274,17.6,737560,25.1,539232,35.9,294339,590161,7539,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Minnesota,8915880,158093,205602,7526806,133463,6997338,161360,3715542,65.9,3438495,79.3,3471790,61.6,3222003,74.3,4975080,3344700,424800,171300,312857,2739506,4465834,8609,1235384,1928792,306814,800,1233165,1681771,306313,754,3199502,65.9,3438495,79.3,56.7,2950206,68,3715542,905819,98.4,860863,93.5,361601,449842,49194,226,2095138,227638,968715,3698007,77.4,3463633,72.5,1235375,1920658,306800,800,7500847,156984,186599,619675,17.8,619141,19.2,499761,29.1,374595,43.5,173639,439939,5474,623,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Missouri,8696155,141691,182430,6937238,113032,6538608,137169,3519135,57.3,3304354,69.3,3073465,50.1,2892759,60.7,4852035,3422920,363900,57300,217524,2471446,4245263,3005,1081070,1775249,216613,533,1080662,1595299,216371,427,2871671,57.3,3304354,69.3,46.8,2691184,56.5,3519135,957270,90.1,858155,80.8,389662,430216,38107,170,2091464,196929,818818,3517911,67.2,3073390,58.7,1081057,1775211,216589,533,6935965,132474,166093,426845,13.9,426405,14.7,356470,21.7,270006,31.5,121473,302499,2823,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mississippi,4225625,141983,185532,3030894,101839,2855939,125394,1559824,52.4,1462758,64.2,1369586,46,1290805,56.7,2214285,1756540,193600,61200,76569,1233513,1718839,1973,543189,750022,75835,540,542885,671651,75748,521,1296732,52.4,1462758,64.2,43.6,1218034,53.5,1559824,421248,86.6,390535,80.2,199396,174057,16823,259,900895,185105,868232,1559580,61.9,1369503,54.3,543178,749963,75822,540,3030590,120194,167589,154052,11.2,153796,11.9,133858,17.4,98227,25.2,61935,91138,783,196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Montana,1546615,144709,184079,1225383,114653,1159976,138061,613508,57.4,578246,68.8,543478,50.9,514108,61.2,777915,649700,91700,27300,50857,514623,658562,1341,221589,272830,48722,337,221477,243625,48675,331,498143,57.4,578246,68.8,46.6,468814,55.8,613508,186176,90.2,170495,82.6,81723,79138,9458,176,412452,199796,749195,613342,66.8,543427,59.2,221570,272804,48716,337,1225156,133518,168550,99122,18.2,98995,19.3,82045,27.1,61765,36.2,34740,63259,959,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Carolina,16624290,158506,203048,12672715,120830,11890242,145227,6866375,65.5,6439371,78.7,5579160,53.2,5233049,63.9,9064950,6440440,800900,318000,439219,4673034,7556951,3511,2010242,3141279,427522,117,2007343,2799467,426130,109,5166302,65.5,6439371,78.7,49.3,4821576,58.9,6866375,1849740,99.9,1443597,82.4,692825,702338,48385,49,3578940,204383,949366,6855376,76.3,5574084,62,2010184,3136281,427503,116,12656609,140856,185012,486714,8.7,486341,9.3,388856,13.6,274690,19,156692,325230,4777,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Dakota,1080390,141772,185669,833932,109431,789987,135762,423822,55.6,400051,68.8,365140,47.9,345851,59.4,592590,421800,47400,18600,33925,325129,473983,895,137075,195262,32796,7,136875,176314,32655,7,334121,55.6,400051,68.8,43.8,314968,54.1,423822,113194,94.5,97368,81.2,46519,46698,4151,0,245366,204736,901489,422628,66.3,364764,57.2,137070,194894,32793,7,832306,130610,169540,62099,17,62054,17.9,49958,26.9,36674,37.7,21292,40334,471,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nebraska,2934560,151703,201227,2388949,123498,2229037,152848,1187006,61.4,1102642,75.6,1093174,56.5,1018212,69.8,1649940,1090420,131200,63000,82271,871755,1429641,5282,392544,618042,81234,1354,392387,543370,81160,1295,1018266,61.4,1102642,75.6,52.6,943373,64.7,1187006,294334,94.2,278721,89.2,135452,135846,6584,839,684095,218940,939185,1186524,73.4,1093076,67.6,392520,617988,81216,1352,2388370,147667,181436,163914,15,163727,16.1,131524,24.4,99891,35.8,44077,118740,999,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Hampshire,2435370,179109,220504,1966626,144636,1838184,166433,1069547,78.7,1008890,91.3,860830,63.3,810596,73.4,1331190,935780,142900,25500,96792,746356,1123409,69,327863,460247,72654,66,327606,410330,72598,62,789115,78.7,1008890,91.3,58,738936,66.9,1069547,326478,99.9,227820,89.7,95552,117349,14886,33,556418,219180,959321,1068626,89.2,860594,71.8,327758,460142,72628,66,1965484,163986,203190,23951,2.8,23920,3,19687,4.2,14315,6.3,6117,17666,161,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Jersey,15647575,176168,225352,12604415,141907,11704421,168564,6735119,75.8,6245730,89.9,5929982,66.8,5509225,79.3,8668395,5947980,766300,264900,467787,4805556,7327754,3318,2156685,3307510,465571,216,2156070,2887690,465264,201,5492438,75.8,6245730,89.9,61.8,5071974,73,6735119,1476478,99.9,1300524,88.1,605524,607680,87257,63,3036745,205806,1060470,6728029,88.3,5929741,77.8,2156649,3307387,465489,216,12597182,165353,205393,721776,12.2,720840,13.1,585593,20.6,400199,30.8,264514,447999,9256,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mexico,3361245,160301,207357,2897650,138192,2695526,166289,1528799,72.9,1411527,87.1,1310545,62.5,1212117,74.8,1774065,1356980,164800,65400,99902,1177135,1614420,6193,516609,693330,98908,1698,516224,595453,98765,1675,1217385,72.9,1411527,87.1,58.1,1119090,69,1528799,384689,99.9,335376,88.8,156121,158436,19936,883,799748,211794,890146,1527697,85.5,1310454,73.3,516589,693271,98896,1698,2896543,162051,188049,215886,16.5,215628,17.8,169245,25.9,114613,34.2,57912,156853,1089,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada,4481390,145492,187701,3718609,120728,3488440,146112,1970484,64,1841631,77.1,1644160,53.4,1545981,64.8,2602170,1597920,223400,57900,161100,1299496,2257321,692,565947,920861,157309,43,565847,822828,157265,41,1492718,64,1841631,77.1,48.5,1394582,58.4,1970484,457173,92.2,393915,79.4,183056,186231,24603,25,958173,193191,903557,1970191,75.1,1644119,62.7,565943,920828,157305,43,3718361,141825,170928,180031,10.9,179911,11.6,151009,18.9,113662,28.9,57863,120615,1553,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New York,33087485,170084,214502,28044136,144159,26254524,170205,14587895,75,13632667,88.4,13068365,67.2,12231778,79.3,18714465,12374320,1571500,427200,1195831,10257905,16575847,14553,4627654,7306207,1131640,2864,4625642,6472666,1130819,2651,11970897,75,13632667,88.4,61.5,11135089,72.2,14587895,3163623,96,2830150,85.9,1336435,1316181,176330,1204,6500869,197226,1003820,14581675,86.9,13067481,77.9,4627440,7305720,1131492,2829,28037207,167155,197264,977216,7.5,976110,8,808963,13.3,576003,20.4,299457,668618,9113,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,17075575,146081,187415,13350925,114217,12611145,138415,6570692,56.2,6180942,67.8,6096447,52.2,5753778,63.2,9250035,6770540,808100,246900,528582,5102455,7698007,21881,2249143,3339277,503360,4667,2248628,2997445,503136,4569,5630914,56.2,6180942,67.8,48.2,5288449,58,6570692,1818199,88.9,1732935,84.7,783024,859914,87678,2319,4141253,202376,834453,6565679,65.7,6096340,61,2249137,3339190,503349,4664,13345694,133448,170744,917007,15,915906,15.9,772914,23.1,590699,34.1,307179,598625,11005,198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oklahoma,5544410,140118,184523,4590374,116007,4314104,143577,2380198,60.2,2229933,74.2,1997888,50.5,1873664,62.4,2829210,2400800,282000,32400,129064,1867386,2592649,1275,788509,1082819,126400,160,788249,958967,126309,139,1876573,60.2,2229933,74.2,47.4,1752436,58.3,2380198,622662,98,524994,82.7,266068,239312,19575,39,1304452,205383,872954,2379634,71.6,1997814,60.1,788491,1082779,126385,159,4589773,138029,166738,267174,13.4,266920,14.2,224176,21.9,167324,31.9,101278,163966,1916,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oregon,7517725,178241,224331,5777655,136985,5405637,161306,2903671,68.8,2707372,80.8,2666106,63.2,2492224,74.4,4072125,2961100,408300,76200,237501,2137566,3397117,5471,951951,1483819,229069,1267,949117,1313657,228261,1189,2455904,68.8,2707372,80.8,58.2,2282817,68.1,2903671,717828,93.7,672849,87.8,303758,317764,50763,564,1586636,207111,981324,2895243,79.4,2660299,72.9,951947,1478023,229066,1263,5763194,157992,206091,399930,15,399585,16,317118,24.9,241962,36,126719,268705,4340,166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,21904415,171102,215438,18110973,141470,17066940,167860,10214769,79.8,9629239,94.7,7819038,61.1,7371681,72.5,11498175,8803340,1271100,331800,693613,7084818,10331228,1314,2929316,4198991,690166,565,2926764,3754722,689672,523,7147140,79.8,9629239,94.7,55.8,6700248,65.9,10214769,3014742,99.9,2188727,91.4,1027836,1069625,91011,255,5562436,232411,915215,10210469,92.1,7817335,70.5,2929170,4197504,690096,565,18105086,163381,197666,666798,8.5,665970,9,550863,13,401737,18.4,239973,421094,5711,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,1900305,179382,222293,1606608,151658,1502826,175797,836531,79,779655,91.2,755703,71.3,705562,82.5,1048545,741760,83900,26100,56465,602967,945567,1609,271485,428745,55223,250,271392,378722,55200,248,705878,79,779655,91.2,66.6,655760,76.7,836531,197918,99.9,179761,96.1,81181,92124,6367,89,435616,232892,1015960,835799,90.1,755651,81.5,271480,428700,55222,249,1605871,173141,204887,106351,14.1,106207,15.1,90093,24,67440,37.5,36383,69141,821,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Carolina,7910725,153645,195930,5839721,113421,5523299,136799,2993419,58.1,2819135,69.8,2593961,50.4,2449475,60.7,4060605,3314420,388400,147300,193519,2246329,3396814,3059,960349,1446948,186356,308,958350,1305053,185767,305,2419572,58.1,2819135,69.8,47,2275668,56.4,2993419,890356,95,781245,83.4,332269,419409,29384,183,1904465,203246,844240,2987118,67.6,2591100,58.6,960263,1444218,186312,307,5830447,131911,178977,365286,14.1,364937,14.9,317241,21.7,250046,32,105369,255495,4224,198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Dakota,1397995,158026,209419,1060224,119845,994428,148965,556494,62.9,519374,77.8,471405,53.3,443177,66.4,716715,576580,76500,28200,34058,418480,607520,166,182798,254829,33755,23,182735,226689,33730,23,439221,62.9,519374,77.8,49.6,411015,61.6,556494,157929,99.9,135674,89.3,67729,63358,4572,15,326070,214702,920515,556395,75.4,471389,63.9,182796,254817,33753,23,1060124,143629,189404,70874,15,70825,16,59562,23.5,44743,33,24595,45782,496,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tennessee,9590050,140428,180294,7599799,111284,7226278,135855,3747384,54.9,3544057,66.6,3276561,48,3113609,58.5,5329890,3746860,440400,72900,221087,2891074,4451991,35647,1208575,1849248,209909,8829,1208071,1687144,209644,8750,3081119,54.9,3544057,66.6,45.1,2918377,54.9,3747384,1003154,87.7,918799,80.4,454662,425634,33704,4799,2303530,201464,838736,3746586,64.2,3276370,56.1,1208555,1849127,209862,8826,7598854,130216,164338,491487,15,490656,15.8,407864,22.9,302666,32.9,167768,318608,3876,1235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Texas,46164335,159210,213763,35175498,121312,32351824,149804,17914285,61.8,16405215,76,15565536,53.7,14337773,66.4,25380735,17541400,2276200,966000,1309210,13274023,20589635,2630,5669007,8692664,1203573,292,5665063,7470292,1202144,274,14426241,61.8,16405215,76,49.8,13199848,61.1,17914285,3398513,91,3061308,82,1461107,1433111,166983,107,7515459,201259,1236250,17902169,74.3,15563271,64.6,5668469,8691211,1203300,291,35161093,145890,191544,1839548,11.8,1835665,12.8,1421054,21,943824,30.8,730525,1093385,15575,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,4593120,143268,201915,3779942,117904,3428762,150730,1975519,61.6,1788376,78.6,1734414,54.1,1574768,69.2,2603700,1657020,207000,125400,154099,1359049,2266295,499,604487,979043,150844,40,604095,819971,150669,33,1589444,61.6,1788376,78.6,49.6,1429958,62.9,1975519,355777,97.2,318090,86.9,135174,167048,15865,3,775654,212001,1255390,1974818,76.2,1734075,66.9,604453,978773,150809,40,3778931,145778,177186,170580,9.8,170146,10.8,135917,20.5,104363,32.8,34550,134985,913,132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia,14514675,170050,217459,12064379,141343,11174880,167422,6128148,71.8,5659562,84.8,5423258,63.5,5016168,75.2,8196255,5401120,666800,250500,425147,4315142,7310830,13260,1876109,3136658,407704,2787,1870550,2736860,406165,2593,5057226,71.8,5659562,84.8,59.2,4651657,69.7,6128148,1342291,98.8,1194864,87.9,559134,565653,69213,864,2926195,215335,1068120,6103895,83.5,5411160,74.1,1875939,3124834,407609,2778,12026867,164594,198641,745224,13.7,744364,14.8,596725,23.5,424697,35.5,264891,471184,8414,735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vermont,1208620,193693,236992,1013744,162462,951030,186482,501856,80.4,468266,91.8,447124,71.7,417516,81.9,615420,511500,65200,16500,46478,396238,570163,865,166663,236348,43856,257,166613,206882,43782,239,408877,80.4,468266,91.8,65.5,379325,74.4,501856,134386,99.9,122359,97.9,58924,60869,2414,152,320768,256534,966594,501416,91,447079,81.1,166652,236331,43840,256,1013306,183920,219370,90907,20.3,90825,21.8,75920,31.8,56502,46.2,28929,60802,1161,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,12997895,170690,218385,10552611,138579,9856138,165598,5320044,69.9,4955874,83.3,4863145,63.9,4538131,76.2,7195035,4926960,657300,218600,418559,3944679,6181419,7954,1769632,2678620,412343,2550,1768910,2354690,412035,2496,4478121,69.9,4955874,83.3,58.8,4153380,69.8,5320044,1168031,96.6,1088848,90,496142,535348,55992,1366,2628942,217318,1074450,5318944,81.8,4862857,74.8,1769575,2678418,412316,2548,10551369,162306,199939,659938,13.6,658964,14.5,533311,24.1,394895,36.3,207978,446334,5476,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wisconsin,8677785,149041,190476,7553212,129726,7104317,155939,3678315,63.2,3440764,75.5,3415322,58.7,3208063,70.4,4786605,3329180,390400,171600,289119,2863135,4397806,3152,1265972,1871244,277620,486,1265646,1664534,277420,463,3158463,63.2,3440764,75.5,54.2,2951375,64.8,3678315,988376,97.2,937210,92.1,450785,457233,28987,205,2310180,227102,853069,3675937,73.5,3415122,68.3,1265956,1871079,277602,485,7550869,151024,173563,590297,17.3,589779,18.4,477515,26.2,354351,37.8,166167,420084,3994,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Virginia,3238705,180716,226075,1594626,88979,1520444,106133,881224,49.2,837272,58.4,736505,41.1,704720,49.2,1773825,1289680,137100,38100,42314,708539,843236,537,320024,371759,44460,262,319720,340372,44390,238,692454,49.2,837272,58.4,38.6,660733,46.1,881224,297443,81,263541,71.8,134050,122514,6868,109,571583,155740,882454,880490,56.5,736202,47.3,319935,371559,44446,262,1593549,102292,207898,47963,6.5,47917,6.8,39125,8.7,27585,10.5,11701,36121,130,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wyoming,772165,133417,173510,587899,101579,558090,125406,297807,51.5,281256,63.2,256745,44.4,243565,54.7,367005,346760,41600,16800,25282,258274,303817,526,108063,125131,23459,92,108044,111995,23436,90,234319,51.5,281256,63.2,40.5,221161,49.7,297807,87177,87.9,79035,79.7,40251,35123,3618,43,190081,191654,778557,297767,60.7,256734,52.3,108062,125123,23457,92,587857,119795,157353,43066,16.8,43001,17.7,36753,25.6,28051,35.5,14709,27975,357,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A